千年女优 / 千年女優,,tt0291350
红辣椒 / パプリカ,5,tt0851578
狮子王 / The Lion King,,tt0110357
大闹天宫,,tt0059855
疯狂动物城 / Zootopia,,tt2948356
千与千寻 / 千と千尋の神隠し,,tt0245429
泰坦尼克号 / Titanic,,tt0120338
这个杀手不太冷 / Léon,5,tt0110413
阿甘正传 / Forrest Gump,,tt0109830
肖申克的救赎 / The Shawshank Redemption,,tt0111161
钢的琴,,tt1723118
看车人的七月,,tt0497083
求求你，表扬我,,tt0487942
耳朵大有福,,tt1978472
喋血街头 / 喋血街頭,,tt0099426
记忆裂痕 / Paycheck,,tt0338337
黑衣人3 / Men in Black III,,tt1409024
黑衣人2 / Men in Black II,,tt0120912
黑衣人：全球追缉 / Men in Black International,,tt2283336
黑衣人 / Men in Black,,tt0119654
一代宗师 / 一代宗師,,tt1462900
血战钢锯岭 / Hacksaw Ridge,,tt2119532
美丽心灵 / A Beautiful Mind,,tt0268978
猫鼠游戏 / Catch Me If You Can,,tt0264464
末代皇帝 / The Last Emperor,,tt0093389
史密斯夫妇 / Mr. & Mrs. Smith,,tt0356910
海王 / Aquaman,,tt1477834
终结者：黑暗命运 / Terminator: Dark Fate,,tt6450804
终结者：创世纪 / Terminator Genisys,,tt1340138
终结者2018 / Terminator Salvation,,tt0438488
终结者3 / Terminator 3: Rise of the Machines,,tt0181852
终结者 / The Terminator,,tt0088247
终结者2：审判日 / Terminator 2: Judgment Day,,tt0103064
速度与激情6 / Furious 6,,tt1905041
速度与激情5 / Fast Five,,tt1596343
速度与激情4 / Fast & Furious,,tt1013752
速度与激情3：东京漂移 / The Fast and the Furious: Tokyo Drift,,tt0463985
速度与激情2 / 2 Fast 2 Furious,,tt0322259
速度与激情 / The Fast and the Furious,,tt0232500
速度与激情7 / Furious 7,,tt2820852
杀死比尔 / Kill Bill: Vol. 1,,tt0266697
惊奇队长 / Captain Marvel,,tt4154664
复仇者联盟3：无限战争 / Avengers: Infinity War,,tt4154756
雷神3：诸神黄昏 / Thor: Ragnarok,,tt3501632
蜘蛛侠：英雄归来 / Spider-Man: Homecoming,,tt2250912
奇异博士 / Doctor Strange,,tt1211837
美国队长3 / Captain America: Civil War,,tt3498820
复仇者联盟2：奥创纪元 / Avengers: Age of Ultron,,tt2395427
美国队长2 / Captain America: The Winter Soldier,,tt1843866
雷神2：黑暗世界 / Thor: The Dark World,,tt1981115
钢铁侠3 / Iron Man 3,,tt1300854
复仇者联盟 / The Avengers,,tt0848228
美国队长 / Captain America: The First Avenger,,tt0458339
雷神 / Thor,,tt0800369
钢铁侠2 / Iron Man 2,,tt1228705
无敌浩克 / The Incredible Hulk,,tt0800080
钢铁侠 / Iron Man,,tt0371746
复仇者联盟4：终局之战 / Avengers: Endgame,,tt4154796
变脸 / Face/Off,,tt0119094
武侠,,tt1718199
喋血双雄 / 喋血雙雄,,tt0097202
秋天的童话 / 秋天的童話,,tt0093426
赌神2 / 賭神2,,tt0109683
监狱风云 / 監獄風雲,,tt0093304
阿郎的故事,,tt0098694
赌神 / 賭神,,tt0097244
满城尽带黄金甲,,tt0473444
无双 / 無雙,,tt7183578
让子弹飞,,tt1533117
金玉满堂 / 金玉滿堂,,tt0113475
异度空间 / 異度空間,,tt0316023
倩女幽魂2：人间道 / 倩女幽魂II 人間道,,tt0100625
家有喜事 / 家有囍事,,tt0104553
胭脂扣,,tt0093258
纵横四海 / 緃横四海,,tt0101020
阿飞正传 / 阿飛正傳,,tt0101258
倩女幽魂,,tt0093978
霸王别姬,,tt0106332
英雄本色2,,tt0094357
英雄本色,,tt0092263
鲁邦三世：血烟的石川五右卫门 / LUPIN THE IIIRD 血煙の石川五ェ門,,tt6047974
扎克·施奈德版正义联盟 / Zack Snyder's Justice League,,tt12361974
神奇女侠 / Wonder Woman,,tt0451279
神奇女侠1984 / Wonder Woman 1984,,tt7126948
极乐 / Bliss,4,tt10333426
致命弯道 / Wrong Turn,3,tt9110170
缉魂 / 緝魂,5,tt13598976
蝴蝶效应3：启示 / The Butterfly Effect 3: Revelations,,tt1234541
蝴蝶效应2 / The Butterfly Effect 2,,tt0457297
蝴蝶效应 / The Butterfly Effect,,tt0289879
彗星来的那一夜 / Coherence,,tt2866360
美人鱼,,tt4701660
羞羞的铁拳,,tt7431894
魔警,,tt3511542
停尸房收藏 / The Mortuary Collection,,tt7781432
你好，李焕英,4,tt13364790
夏洛特烦恼,3,tt5061814
除暴,4,tt9877138
暴力街区 / Brick Mansions,,tt1430612
后会无期,,tt3896016
一秒钟,5,tt8959680
心灵奇旅 / Soul,5,tt2948372
沐浴之王,3,tt13347818
红龙 / Red Dragon,3,tt0289765
低俗小说 / Pulp Fiction,5,tt0110912
神探,5,tt0969269
汉尼拔 / Hannibal,5,tt0212985
少年汉尼拔 / Hannibal Rising,5,tt0367959
银翼杀手 / Blade Runner,5,tt0083658
妖猫传,4,tt6157626
未麻的部屋 / Perfect Blue,5,tt0156887
杀之恋 / 殺之戀,5,tt0096078
我的特工爷爷 / 特工爺爺,4,tt4076934
落水狗 / Reservoir Dogs,5,tt0105236
蝎子战士 / 蠍子戰士,5,tt0102159
冰雪奇缘 / Frozen,4,tt2294629
致命魔术 / The Prestige,4,tt0482571
孤儿怨 / Orphan,,tt1148204
单身男女2 / 單身男女II,2,tt3121474
紫日,,tt0303260
